Mass,T0,T0_SIGMA
Ar36,0.001353702205439085,3.381394260893734e-05
Ar37,0.001277223341258438,1.869835197201017e-05
Ar38,0.0006780133559239059,1.4245392138083156e-05
Ar39,0.0013523067093397388,3.80571646736905e-05
Ar40,0.04627270736170126,0.0006189958567156229
