Mass,T0,T0_SIGMA
Ar36,0.0005172912768246487,2.7062248847194295e-05
Ar37,0.0006613194037883549,2.7200660071467798e-05
Ar38,0.0009084330888117708,3.566214156540545e-05
Ar39,0.0025462851693385663,7.144209763040113e-05
Ar40,0.014955488203650112,8.229454278217882e-05
