Mass,Raw,Measurment,Measurement's Sigma
Ar36,0.0005062772196735213,-1.1014057151127418e-05,2.8196914637328514e-05
Ar37,0.0007496696407299215,8.835023694156658e-05,2.829732086423707e-05
Ar38,0.0010208903513368645,0.00011245726252509373,3.64573515265678e-05
Ar39,0.00305267823168233,0.0005063930623437638,8.404572960141155e-05
Ar40,0.10575673300957567,0.09080124480592555,0.00020551655518284345
