Mass,Mean,STD
Ar36,0.0008527786701174582,0.0003627826822846067
Ar37,0.0009543675613840756,0.00023101109137436073
Ar38,0.0007785035848662177,0.00017222490918902564
Ar39,0.002232970341646701,0.0006955106183638523
Ar40,0.09261422386653367,0.03377590752963228
