Mass,T0,T0_SIGMA
Ar36,0.000698356585239768,2.8280523391314145e-05
Ar37,0.0008362097021638673,2.1630126906138296e-05
Ar38,0.0006366070473378824,2.9813101880691804e-05
Ar39,0.0022939260839180344,6.761811750250483e-05
Ar40,0.1258132312283241,0.0002644811049638904
