Ratio,Value,Ratio's Sigma
Ar40/36,612.2528053276558,132.3657587723284
Ar37/39,-0.6930216048456296,0.30321082510500114
Ar38/36,-1.5012596496435782,0.4138006398666339
Ar40/38,-407.8260582524908,69.74585396805033
Ar40/39,-439.28572193047984,171.23364622098433
