Mass,T0,T0_SIGMA
Ar36,0.0005062772196735213,7.918376247522099e-06
Ar37,0.0007496696407299215,7.80143959600048e-06
Ar38,0.0010208903513368645,7.57298747527796e-06
Ar39,0.00305267823168233,4.426862715741045e-05
Ar40,0.10575673300957567,0.00018832063796221296
